Book,Subject,Order,Animacy,Info.Status
Quijote,overt,SV,animate,given
Quijote,overt,VS,inanimate,new
Quijote,overt,SV,animate,given
Quijote,overt,SV,animate,given
Quijote,overt,SV,animate,given
Quijote,overt,SV,animate,given
Quijote,overt,SV,animate,given
Quijote,overt,SV,animate,new
Quijote,overt,SV,animate,new
Quijote,overt,SV,animate,given
Quijote,overt,SV,inanimate,given
Quijote,overt,SV,inanimate,given
Quijote,overt,VS,inanimate,new
Quijote,overt,VS,inanimate,new
Quijote,overt,SV,animate,given
Quijote,overt,SV,inanimate,given
Quijote,overt,SV,inanimate,given
Quijote,overt,SV,inanimate,given
Quijote,overt,VS,inanimate,new
Quijote,overt,SV,animate,given
Quijote,overt,VS,animate,new
Quijote,overt,VS,inanimate,new
Quijote,overt,VS,inanimate,given
Quijote,overt,VS,inanimate,given
Quijote,overt,VS,animate,given
Quijote,overt,VS,animate,new
Quijote,overt,VS,inanimate,new
Quijote,overt,VS,inanimate,new
Quijote,overt,VS,inanimate,new
Quijote,overt,VS,inanimate,new
Quijote,overt,VS,inanimate,new
Quijote,overt,VS,inanimate,new
Quijote,overt,VS,animate,new
Quijote,overt,SV,animate,given
Quijote,overt,SV,animate,given
Quijote,overt,SV,inanimate,given
Quijote,overt,VS,inanimate,new
Quijote,overt,VS,inanimate,new
Quijote,overt,SV,animate,given
Quijote,overt,SV,animate,given
Quijote,overt,VS,inanimate,new
Quijote,overt,VS,inanimate,new
Quijote,overt,VS,inanimate,new
Quijote,overt,VS,inanimate,new
Quijote,overt,VS,inanimate,new
Quijote,overt,VS,inanimate,new
Quijote,overt,VS,inanimate,new
Quijote,overt,VS,inanimate,given
Quijote,overt,VS,inanimate,given
Quijote,overt,VS,inanimate,given
Quijote,overt,VS,inanimate,new
Quijote,overt,VS,inanimate,new
Quijote,overt,VS,inanimate,new
Quijote,overt,VS,inanimate,new
Quijote,overt,VS,inanimate,new
Quijote,overt,SV,inanimate,given
Quijote,overt,SV,inanimate,given
Quijote,overt,SV,inanimate,given
Quijote,overt,SV,inanimate,given
Quijote,overt,SV,inanimate,given
Quijote,overt,SV,inanimate,given
Quijote,overt,SV,inanimate,new
Quijote,overt,SV,animate,given
Quijote,overt,SV,animate,new
Quijote,overt,SV,animate,new
Quijote,overt,SV,animate,new
Quijote,overt,SV,animate,new
Quijote,overt,SV,animate,given
Quijote,overt,SV,animate,given
Quijote,overt,SV,animate,given
Quijote,overt,SV,animate,given
Quijote,overt,SV,animate,new
Quijote,overt,SV,animate,new
Quijote,overt,SV,animate,new
Quijote,overt,SV,animate,new
Quijote,overt,SV,animate,new
Quijote,overt,SV,animate,new
Quijote,overt,VS,animate,new
Quijote,overt,VS,animate,new
Quijote,overt,VS,animate,new
Quijote,overt,VS,animate,given
Quijote,overt,VS,animate,given
Quijote,overt,VS,animate,new
Quijote,overt,VS,inanimate,new
Quijote,overt,VS,inanimate,new
Quijote,overt,VS,inanimate,new
Quijote,overt,VS,inanimate,new
Quijote,overt,VS,inanimate,new
Quijote,overt,VS,inanimate,new
Quijote,overt,VS,inanimate,new
Quijote,overt,VS,inanimate,new
Quijote,overt,VS,inanimate,given
Quijote,overt,VS,inanimate,given
Quijote,overt,VS,inanimate,given
Quijote,overt,VS,inanimate,given
Quijote,overt,VS,inanimate,given
Quijote,overt,VS,inanimate,given
Quijote,overt,VS,inanimate,given
Quijote,overt,VS,inanimate,given
Quijote,overt,VS,inanimate,given
